bohf_txt;aar;alder;ermann;teknikk;Antall;bohf
Finnmark;2014;2;1;Pinning;1;1
UNN;2014;2;1;Pinning;1;2
Nordland;2014;2;1;Pinning;2;3
Helgeland;2014;2;1;Pinning;0;4
Nord-Trøndelag;2014;2;1;Pinning;1;6
St. Olavs;2014;2;1;Pinning;0;7
Møre og Romsdal;2014;2;1;Pinning;1;8
Førde;2014;2;1;Pinning;0;10
Bergen;2014;2;1;Pinning;0;11
Fonna;2014;2;1;Pinning;1;12
Stavanger;2014;2;1;Pinning;0;13
Østfold;2014;2;1;Pinning;0;14
Akershus;2014;2;1;Pinning;0;15
OUS;2014;2;1;Pinning;0;16
Innlandet;2014;2;1;Pinning;0;19
Vestre Viken;2014;2;1;Pinning;0;20
Vestfold;2014;2;1;Pinning;0;21
Telemark;2014;2;1;Pinning;0;22
Sørlandet;2014;2;1;Pinning;1;23
Norge;2014;2;1;Pinning;8;9999
Finnmark;2015;2;1;Pinning;0;1
UNN;2015;2;1;Pinning;1;2
Nordland;2015;2;1;Pinning;0;3
Helgeland;2015;2;1;Pinning;0;4
Nord-Trøndelag;2015;2;1;Pinning;0;6
St. Olavs;2015;2;1;Pinning;0;7
Møre og Romsdal;2015;2;1;Pinning;1;8
Førde;2015;2;1;Pinning;0;10
Bergen;2015;2;1;Pinning;0;11
Fonna;2015;2;1;Pinning;0;12
Stavanger;2015;2;1;Pinning;0;13
Østfold;2015;2;1;Pinning;0;14
Akershus;2015;2;1;Pinning;0;15
OUS;2015;2;1;Pinning;0;16
Innlandet;2015;2;1;Pinning;0;19
Vestre Viken;2015;2;1;Pinning;1;20
Vestfold;2015;2;1;Pinning;0;21
Telemark;2015;2;1;Pinning;0;22
Sørlandet;2015;2;1;Pinning;1;23
Norge;2015;2;1;Pinning;4;9999
Finnmark;2013;3;1;Pinning;0;1
UNN;2013;3;1;Pinning;1;2
Nordland;2013;3;1;Pinning;0;3
Helgeland;2013;3;1;Pinning;0;4
Nord-Trøndelag;2013;3;1;Pinning;0;6
