bohf_txt;aar;alder;ermann;teknikk;Antall;bohf
Stavanger;2015;2;1;Hemiprotsese;7;13
Østfold;2015;2;1;Hemiprotsese;15;14
Akershus;2015;2;1;Hemiprotsese;18;15
OUS;2015;2;1;Hemiprotsese;19;16
Innlandet;2015;2;1;Hemiprotsese;24;19
Vestre Viken;2015;2;1;Hemiprotsese;20;20
Vestfold;2015;2;1;Hemiprotsese;10;21
Telemark;2015;2;1;Hemiprotsese;13;22
Sørlandet;2015;2;1;Hemiprotsese;16;23
Norge;2015;2;1;Hemiprotsese;215;9999
Finnmark;2013;3;1;Hemiprotsese;1;1
UNN;2013;3;1;Hemiprotsese;2;2
Nordland;2013;3;1;Hemiprotsese;9;3
Helgeland;2013;3;1;Hemiprotsese;0;4
Nord-Trøndelag;2013;3;1;Hemiprotsese;8;6
St. Olavs;2013;3;1;Hemiprotsese;16;7
Møre og Romsdal;2013;3;1;Hemiprotsese;15;8
Førde;2013;3;1;Hemiprotsese;5;10
Bergen;2013;3;1;Hemiprotsese;15;11
Fonna;2013;3;1;Hemiprotsese;8;12
Stavanger;2013;3;1;Hemiprotsese;12;13
Østfold;2013;3;1;Hemiprotsese;15;14
Akershus;2013;3;1;Hemiprotsese;14;15
OUS;2013;3;1;Hemiprotsese;23;16
Innlandet;2013;3;1;Hemiprotsese;20;19
Vestre Viken;2013;3;1;Hemiprotsese;17;20
Vestfold;2013;3;1;Hemiprotsese;11;21
Telemark;2013;3;1;Hemiprotsese;7;22
Sørlandet;2013;3;1;Hemiprotsese;10;23
Norge;2013;3;1;Hemiprotsese;208;9999
Finnmark;2014;3;1;Hemiprotsese;2;1
UNN;2014;3;1;Hemiprotsese;6;2
Nordland;2014;3;1;Hemiprotsese;8;3
Helgeland;2014;3;1;Hemiprotsese;1;4
Nord-Trøndelag;2014;3;1;Hemiprotsese;10;6
St. Olavs;2014;3;1;Hemiprotsese;23;7
Møre og Romsdal;2014;3;1;Hemiprotsese;15;8
Førde;2014;3;1;Hemiprotsese;3;10
Bergen;2014;3;1;Hemiprotsese;12;11
Fonna;2014;3;1;Hemiprotsese;5;12
Stavanger;2014;3;1;Hemiprotsese;7;13
Østfold;2014;3;1;Hemiprotsese;10;14
Akershus;2014;3;1;Hemiprotsese;14;15
OUS;2014;3;1;Hemiprotsese;26;16
Innlandet;2014;3;1;Hemiprotsese;23;19
Vestre Viken;2014;3;1;Hemiprotsese;25;20
Vestfold;2014;3;1;Hemiprotsese;7;21
Telemark;2014;3;1;Hemiprotsese;5;22
Sørlandet;2014;3;1;Hemiprotsese;9;23
Norge;2014;3;1;Hemiprotsese;211;9999
Finnmark;2015;3;1;Hemiprotsese;1;1
UNN;2015;3;1;Hemiprotsese;11;2
Nordland;2015;3;1;Hemiprotsese;4;3
Helgeland;2015;3;1;Hemiprotsese;1;4
Nord-Trøndelag;2015;3;1;Hemiprotsese;4;6
St. Olavs;2015;3;1;Hemiprotsese;21;7
Møre og Romsdal;2015;3;1;Hemiprotsese;12;8
Førde;2015;3;1;Hemiprotsese;3;10
Bergen;2015;3;1;Hemiprotsese;17;11
Fonna;2015;3;1;Hemiprotsese;11;12
Stavanger;2015;3;1;Hemiprotsese;6;13
Østfold;2015;3;1;Hemiprotsese;13;14
Akershus;2015;3;1;Hemiprotsese;12;15
OUS;2015;3;1;Hemiprotsese;23;16
Innlandet;2015;3;1;Hemiprotsese;20;19
Vestre Viken;2015;3;1;Hemiprotsese;19;20
Vestfold;2015;3;1;Hemiprotsese;10;21
Telemark;2015;3;1;Hemiprotsese;5;22
Sørlandet;2015;3;1;Hemiprotsese;13;23
Norge;2015;3;1;Hemiprotsese;206;9999
Finnmark;2013;4;1;Hemiprotsese;3;1
UNN;2013;4;1;Hemiprotsese;3;2
Nordland;2013;4;1;Hemiprotsese;5;3
Helgeland;2013;4;1;Hemiprotsese;2;4
Nord-Trøndelag;2013;4;1;Hemiprotsese;7;6
St. Olavs;2013;4;1;Hemiprotsese;16;7
Møre og Romsdal;2013;4;1;Hemiprotsese;16;8
Førde;2013;4;1;Hemiprotsese;5;10
Bergen;2013;4;1;Hemiprotsese;26;11
Fonna;2013;4;1;Hemiprotsese;4;12
Stavanger;2013;4;1;Hemiprotsese;7;13
Østfold;2013;4;1;Hemiprotsese;17;14
Akershus;2013;4;1;Hemiprotsese;14;15
OUS;2013;4;1;Hemiprotsese;21;16
Innlandet;2013;4;1;Hemiprotsese;24;19
Vestre Viken;2013;4;1;Hemiprotsese;32;20
Vestfold;2013;4;1;Hemiprotsese;12;21
Telemark;2013;4;1;Hemiprotsese;11;22
Sørlandet;2013;4;1;Hemiprotsese;14;23
Norge;2013;4;1;Hemiprotsese;239;9999
Finnmark;2014;4;1;Hemiprotsese;3;1
UNN;2014;4;1;Hemiprotsese;6;2
Nordland;2014;4;1;Hemiprotsese;8;3
Helgeland;2014;4;1;Hemiprotsese;3;4
Nord-Trøndelag;2014;4;1;Hemiprotsese;6;6
St. Olavs;2014;4;1;Hemiprotsese;12;7
Møre og Romsdal;2014;4;1;Hemiprotsese;11;8
Førde;2014;4;1;Hemiprotsese;4;10
Bergen;2014;4;1;Hemiprotsese;28;11
Fonna;2014;4;1;Hemiprotsese;2;12
Stavanger;2014;4;1;Hemiprotsese;12;13
Østfold;2014;4;1;Hemiprotsese;23;14
Akershus;2014;4;1;Hemiprotsese;14;15
OUS;2014;4;1;Hemiprotsese;34;16
Innlandet;2014;4;1;Hemiprotsese;25;19
Vestre Viken;2014;4;1;Hemiprotsese;29;20
Vestfold;2014;4;1;Hemiprotsese;14;21
Telemark;2014;4;1;Hemiprotsese;13;22
Sørlandet;2014;4;1;Hemiprotsese;15;23
Norge;2014;4;1;Hemiprotsese;262;9999
Finnmark;2015;4;1;Hemiprotsese;1;1
UNN;2015;4;1;Hemiprotsese;7;2
Nordland;2015;4;1;Hemiprotsese;7;3
Helgeland;2015;4;1;Hemiprotsese;4;4
Nord-Trøndelag;2015;4;1;Hemiprotsese;3;6
St. Olavs;2015;4;1;Hemiprotsese;14;7
Møre og Romsdal;2015;4;1;Hemiprotsese;20;8
Førde;2015;4;1;Hemiprotsese;4;10
Bergen;2015;4;1;Hemiprotsese;20;11
Fonna;2015;4;1;Hemiprotsese;9;12
Stavanger;2015;4;1;Hemiprotsese;12;13
Østfold;2015;4;1;Hemiprotsese;18;14
Akershus;2015;4;1;Hemiprotsese;16;15
OUS;2015;4;1;Hemiprotsese;26;16
Innlandet;2015;4;1;Hemiprotsese;25;19
Vestre Viken;2015;4;1;Hemiprotsese;20;20
Vestfold;2015;4;1;Hemiprotsese;10;21
Telemark;2015;4;1;Hemiprotsese;11;22
Sørlandet;2015;4;1;Hemiprotsese;14;23
Norge;2015;4;1;Hemiprotsese;241;9999
Finnmark;2013;1;1;Totalt;0;1
UNN;2013;1;1;Totalt;10;2
Nordland;2013;1;1;Totalt;8;3
Helgeland;2013;1;1;Totalt;4;4
Nord-Trøndelag;2013;1;1;Totalt;7;6
St. Olavs;2013;1;1;Totalt;13;7
Møre og Romsdal;2013;1;1;Totalt;9;8
Førde;2013;1;1;Totalt;6;10
Bergen;2013;1;1;Totalt;21;11
Fonna;2013;1;1;Totalt;9;12
Stavanger;2013;1;1;Totalt;10;13
Østfold;2013;1;1;Totalt;21;14
Akershus;2013;1;1;Totalt;13;15
OUS;2013;1;1;Totalt;24;16
Innlandet;2013;1;1;Totalt;26;19
Vestre Viken;2013;1;1;Totalt;24;20
Vestfold;2013;1;1;Totalt;10;21
Telemark;2013;1;1;Totalt;10;22
Sørlandet;2013;1;1;Totalt;13;23
Norge;2013;1;1;Totalt;238;9999
Finnmark;2014;1;1;Totalt;4;1
UNN;2014;1;1;Totalt;7;2
Nordland;2014;1;1;Totalt;8;3
Helgeland;2014;1;1;Totalt;4;4
Nord-Trøndelag;2014;1;1;Totalt;5;6
St. Olavs;2014;1;1;Totalt;20;7
Møre og Romsdal;2014;1;1;Totalt;16;8
Førde;2014;1;1;Totalt;2;10
Bergen;2014;1;1;Totalt;18;11
Fonna;2014;1;1;Totalt;6;12
Stavanger;2014;1;1;Totalt;9;13
Østfold;2014;1;1;Totalt;25;14
Akershus;2014;1;1;Totalt;24;15
OUS;2014;1;1;Totalt;22;16
Innlandet;2014;1;1;Totalt;19;19
Vestre Viken;2014;1;1;Totalt;22;20
Vestfold;2014;1;1;Totalt;9;21
Telemark;2014;1;1;Totalt;9;22
Sørlandet;2014;1;1;Totalt;15;23
Norge;2014;1;1;Totalt;244;9999
Finnmark;2015;1;1;Totalt;4;1
UNN;2015;1;1;Totalt;7;2
Nordland;2015;1;1;Totalt;2;3
Helgeland;2015;1;1;Totalt;6;4
Nord-Trøndelag;2015;1;1;Totalt;12;6
St. Olavs;2015;1;1;Totalt;17;7
Møre og Romsdal;2015;1;1;Totalt;16;8
Førde;2015;1;1;Totalt;0;10
Bergen;2015;1;1;Totalt;20;11
Fonna;2015;1;1;Totalt;12;12
Stavanger;2015;1;1;Totalt;7;13
Østfold;2015;1;1;Totalt;16;14
Akershus;2015;1;1;Totalt;17;15
OUS;2015;1;1;Totalt;32;16
Innlandet;2015;1;1;Totalt;33;19
Vestre Viken;2015;1;1;Totalt;33;20
Vestfold;2015;1;1;Totalt;11;21
Telemark;2015;1;1;Totalt;8;22
Sørlandet;2015;1;1;Totalt;12;23
Norge;2015;1;1;Totalt;265;9999
Finnmark;2013;2;1;Totalt;2;1
UNN;2013;2;1;Totalt;6;2
Nordland;2013;2;1;Totalt;7;3
Helgeland;2013;2;1;Totalt;3;4
Nord-Trøndelag;2013;2;1;Totalt;6;6
St. Olavs;2013;2;1;Totalt;13;7
Møre og Romsdal;2013;2;1;Totalt;14;8
Førde;2013;2;1;Totalt;1;10
Bergen;2013;2;1;Totalt;23;11
Fonna;2013;2;1;Totalt;5;12
Stavanger;2013;2;1;Totalt;17;13
Østfold;2013;2;1;Totalt;17;14
Akershus;2013;2;1;Totalt;23;15
OUS;2013;2;1;Totalt;18;16
Innlandet;2013;2;1;Totalt;20;19
Vestre Viken;2013;2;1;Totalt;21;20
Vestfold;2013;2;1;Totalt;9;21
Telemark;2013;2;1;Totalt;10;22
Sørlandet;2013;2;1;Totalt;6;23
Norge;2013;2;1;Totalt;221;9999
Finnmark;2014;2;1;Totalt;4;1
UNN;2014;2;1;Totalt;9;2
Nordland;2014;2;1;Totalt;7;3
Helgeland;2014;2;1;Totalt;2;4
Nord-Trøndelag;2014;2;1;Totalt;8;6
St. Olavs;2014;2;1;Totalt;19;7
Møre og Romsdal;2014;2;1;Totalt;10;8
Førde;2014;2;1;Totalt;3;10
Bergen;2014;2;1;Totalt;22;11
Fonna;2014;2;1;Totalt;6;12
Stavanger;2014;2;1;Totalt;6;13
Østfold;2014;2;1;Totalt;14;14
Akershus;2014;2;1;Totalt;9;15
OUS;2014;2;1;Totalt;14;16
Innlandet;2014;2;1;Totalt;28;19
Vestre Viken;2014;2;1;Totalt;17;20
Vestfold;2014;2;1;Totalt;10;21
Telemark;2014;2;1;Totalt;8;22
Sørlandet;2014;2;1;Totalt;9;23
Norge;2014;2;1;Totalt;205;9999
Finnmark;2015;2;1;Totalt;0;1
UNN;2015;2;1;Totalt;6;2
Nordland;2015;2;1;Totalt;9;3
Helgeland;2015;2;1;Totalt;4;4
Nord-Trøndelag;2015;2;1;Totalt;1;6
St. Olavs;2015;2;1;Totalt;18;7
Møre og Romsdal;2015;2;1;Totalt;10;8
Førde;2015;2;1;Totalt;3;10
Bergen;2015;2;1;Totalt;22;11
Fonna;2015;2;1;Totalt;7;12
Stavanger;2015;2;1;Totalt;10;13
Østfold;2015;2;1;Totalt;15;14
Akershus;2015;2;1;Totalt;18;15
OUS;2015;2;1;Totalt;19;16
Innlandet;2015;2;1;Totalt;24;19
Vestre Viken;2015;2;1;Totalt;21;20
Vestfold;2015;2;1;Totalt;11;21
Telemark;2015;2;1;Totalt;14;22
Sørlandet;2015;2;1;Totalt;17;23
Norge;2015;2;1;Totalt;229;9999
Finnmark;2013;3;1;Totalt;1;1
UNN;2013;3;1;Totalt;3;2
Nordland;2013;3;1;Totalt;9;3
Helgeland;2013;3;1;Totalt;0;4
Nord-Trøndelag;2013;3;1;Totalt;8;6
St. Olavs;2013;3;1;Totalt;19;7
Møre og Romsdal;2013;3;1;Totalt;17;8
Førde;2013;3;1;Totalt;6;10
Bergen;2013;3;1;Totalt;17;11
Fonna;2013;3;1;Totalt;9;12
Stavanger;2013;3;1;Totalt;15;13
Østfold;2013;3;1;Totalt;15;14
Akershus;2013;3;1;Totalt;16;15
OUS;2013;3;1;Totalt;23;16
Innlandet;2013;3;1;Totalt;21;19
Vestre Viken;2013;3;1;Totalt;18;20
Vestfold;2013;3;1;Totalt;12;21
Telemark;2013;3;1;Totalt;7;22
Sørlandet;2013;3;1;Totalt;12;23
Norge;2013;3;1;Totalt;228;9999
Finnmark;2014;3;1;Totalt;2;1
UNN;2014;3;1;Totalt;7;2
Nordland;2014;3;1;Totalt;8;3
Helgeland;2014;3;1;Totalt;1;4
Nord-Trøndelag;2014;3;1;Totalt;13;6
St. Olavs;2014;3;1;Totalt;25;7
Møre og Romsdal;2014;3;1;Totalt;17;8
Førde;2014;3;1;Totalt;3;10
Bergen;2014;3;1;Totalt;13;11
Fonna;2014;3;1;Totalt;5;12
Stavanger;2014;3;1;Totalt;8;13
Østfold;2014;3;1;Totalt;10;14
Akershus;2014;3;1;Totalt;15;15
OUS;2014;3;1;Totalt;26;16
Innlandet;2014;3;1;Totalt;24;19
Vestre Viken;2014;3;1;Totalt;26;20
Vestfold;2014;3;1;Totalt;7;21
Telemark;2014;3;1;Totalt;5;22
Sørlandet;2014;3;1;Totalt;11;23
Norge;2014;3;1;Totalt;226;9999
Finnmark;2015;3;1;Totalt;1;1
UNN;2015;3;1;Totalt;11;2
Nordland;2015;3;1;Totalt;4;3
Helgeland;2015;3;1;Totalt;2;4
Nord-Trøndelag;2015;3;1;Totalt;4;6
St. Olavs;2015;3;1;Totalt;22;7
Møre og Romsdal;2015;3;1;Totalt;12;8
Førde;2015;3;1;Totalt;3;10
Bergen;2015;3;1;Totalt;18;11
Fonna;2015;3;1;Totalt;11;12
Stavanger;2015;3;1;Totalt;8;13
Østfold;2015;3;1;Totalt;13;14
Akershus;2015;3;1;Totalt;12;15
OUS;2015;3;1;Totalt;24;16
Innlandet;2015;3;1;Totalt;21;19
Vestre Viken;2015;3;1;Totalt;20;20
Vestfold;2015;3;1;Totalt;10;21
Telemark;2015;3;1;Totalt;5;22
Sørlandet;2015;3;1;Totalt;14;23
Norge;2015;3;1;Totalt;215;9999
Finnmark;2013;4;1;Totalt;4;1
UNN;2013;4;1;Totalt;4;2
Nordland;2013;4;1;Totalt;5;3
Helgeland;2013;4;1;Totalt;2;4
Nord-Trøndelag;2013;4;1;Totalt;9;6
St. Olavs;2013;4;1;Totalt;18;7
Møre og Romsdal;2013;4;1;Totalt;16;8
Førde;2013;4;1;Totalt;5;10
Bergen;2013;4;1;Totalt;30;11
Fonna;2013;4;1;Totalt;4;12
Stavanger;2013;4;1;Totalt;12;13
Østfold;2013;4;1;Totalt;17;14
Akershus;2013;4;1;Totalt;15;15
OUS;2013;4;1;Totalt;23;16
Innlandet;2013;4;1;Totalt;24;19
Vestre Viken;2013;4;1;Totalt;32;20
Vestfold;2013;4;1;Totalt;13;21
Telemark;2013;4;1;Totalt;11;22
Sørlandet;2013;4;1;Totalt;16;23
Norge;2013;4;1;Totalt;260;9999
Finnmark;2014;4;1;Totalt;3;1
UNN;2014;4;1;Totalt;6;2
Nordland;2014;4;1;Totalt;9;3
Helgeland;2014;4;1;Totalt;4;4
Nord-Trøndelag;2014;4;1;Totalt;9;6
St. Olavs;2014;4;1;Totalt;14;7
Møre og Romsdal;2014;4;1;Totalt;16;8
Førde;2014;4;1;Totalt;5;10
Bergen;2014;4;1;Totalt;29;11
Fonna;2014;4;1;Totalt;4;12
Stavanger;2014;4;1;Totalt;14;13
Østfold;2014;4;1;Totalt;23;14
Akershus;2014;4;1;Totalt;14;15
OUS;2014;4;1;Totalt;35;16
Innlandet;2014;4;1;Totalt;25;19
Vestre Viken;2014;4;1;Totalt;30;20
Vestfold;2014;4;1;Totalt;16;21
Telemark;2014;4;1;Totalt;13;22
Sørlandet;2014;4;1;Totalt;15;23
Norge;2014;4;1;Totalt;285;9999
Finnmark;2015;4;1;Totalt;1;1
UNN;2015;4;1;Totalt;8;2
Nordland;2015;4;1;Totalt;7;3
Helgeland;2015;4;1;Totalt;4;4
Nord-Trøndelag;2015;4;1;Totalt;5;6
St. Olavs;2015;4;1;Totalt;14;7
Møre og Romsdal;2015;4;1;Totalt;20;8
Førde;2015;4;1;Totalt;4;10
Bergen;2015;4;1;Totalt;20;11
Fonna;2015;4;1;Totalt;10;12
Stavanger;2015;4;1;Totalt;14;13
Østfold;2015;4;1;Totalt;18;14
Akershus;2015;4;1;Totalt;18;15
OUS;2015;4;1;Totalt;26;16
Innlandet;2015;4;1;Totalt;25;19
Vestre Viken;2015;4;1;Totalt;24;20
Vestfold;2015;4;1;Totalt;11;21
Telemark;2015;4;1;Totalt;11;22
Sørlandet;2015;4;1;Totalt;15;23
Norge;2015;4;1;Totalt;255;9999
Finnmark;2013;1;0;Pinning;1;1
UNN;2013;1;0;Pinning;1;2
Nordland;2013;1;0;Pinning;0;3
Helgeland;2013;1;0;Pinning;1;4
Nord-Trøndelag;2013;1;0;Pinning;4;6
St. Olavs;2013;1;0;Pinning;1;7
Møre og Romsdal;2013;1;0;Pinning;0;8
Førde;2013;1;0;Pinning;0;10
Bergen;2013;1;0;Pinning;6;11
Fonna;2013;1;0;Pinning;1;12
Stavanger;2013;1;0;Pinning;7;13
Østfold;2013;1;0;Pinning;1;14
Akershus;2013;1;0;Pinning;1;15
OUS;2013;1;0;Pinning;1;16
Innlandet;2013;1;0;Pinning;1;19
Vestre Viken;2013;1;0;Pinning;3;20
Vestfold;2013;1;0;Pinning;2;21
Telemark;2013;1;0;Pinning;2;22
Sørlandet;2013;1;0;Pinning;1;23
Norge;2013;1;0;Pinning;34;9999
Finnmark;2014;1;0;Pinning;0;1
UNN;2014;1;0;Pinning;1;2
Nordland;2014;1;0;Pinning;1;3
Helgeland;2014;1;0;Pinning;1;4
Nord-Trøndelag;2014;1;0;Pinning;2;6
St. Olavs;2014;1;0;Pinning;2;7
Møre og Romsdal;2014;1;0;Pinning;0;8
Førde;2014;1;0;Pinning;0;10
Bergen;2014;1;0;Pinning;3;11
Fonna;2014;1;0;Pinning;0;12
Stavanger;2014;1;0;Pinning;2;13
Østfold;2014;1;0;Pinning;0;14
Akershus;2014;1;0;Pinning;4;15
OUS;2014;1;0;Pinning;3;16
Innlandet;2014;1;0;Pinning;0;19
Vestre Viken;2014;1;0;Pinning;1;20
Vestfold;2014;1;0;Pinning;2;21
Telemark;2014;1;0;Pinning;0;22
Sørlandet;2014;1;0;Pinning;3;23
Norge;2014;1;0;Pinning;25;9999
Finnmark;2015;1;0;Pinning;0;1
UNN;2015;1;0;Pinning;1;2
Nordland;2015;1;0;Pinning;1;3
Helgeland;2015;1;0;Pinning;0;4
Nord-Trøndelag;2015;1;0;Pinning;1;6
St. Olavs;2015;1;0;Pinning;4;7
Møre og Romsdal;2015;1;0;Pinning;2;8
Førde;2015;1;0;Pinning;2;10
Bergen;2015;1;0;Pinning;2;11
Fonna;2015;1;0;Pinning;0;12
Stavanger;2015;1;0;Pinning;0;13
Østfold;2015;1;0;Pinning;0;14
Akershus;2015;1;0;Pinning;1;15
OUS;2015;1;0;Pinning;1;16
Innlandet;2015;1;0;Pinning;0;19
Vestre Viken;2015;1;0;Pinning;1;20
Vestfold;2015;1;0;Pinning;1;21
Telemark;2015;1;0;Pinning;0;22
Sørlandet;2015;1;0;Pinning;0;23
Norge;2015;1;0;Pinning;17;9999
Finnmark;2013;2;0;Pinning;0;1
UNN;2013;2;0;Pinning;1;2
Nordland;2013;2;0;Pinning;0;3
Helgeland;2013;2;0;Pinning;1;4
Nord-Trøndelag;2013;2;0;Pinning;0;6
St. Olavs;2013;2;0;Pinning;1;7
Møre og Romsdal;2013;2;0;Pinning;0;8
Førde;2013;2;0;Pinning;0;10
Bergen;2013;2;0;Pinning;1;11
Fonna;2013;2;0;Pinning;0;12
Stavanger;2013;2;0;Pinning;4;13
Østfold;2013;2;0;Pinning;0;14
Akershus;2013;2;0;Pinning;0;15
OUS;2013;2;0;Pinning;0;16
Innlandet;2013;2;0;Pinning;3;19
Vestre Viken;2013;2;0;Pinning;1;20
Vestfold;2013;2;0;Pinning;1;21
Telemark;2013;2;0;Pinning;0;22
Sørlandet;2013;2;0;Pinning;1;23
Norge;2013;2;0;Pinning;14;9999
Finnmark;2014;2;0;Pinning;2;1
UNN;2014;2;0;Pinning;4;2
Nordland;2014;2;0;Pinning;2;3
Helgeland;2014;2;0;Pinning;2;4
Nord-Trøndelag;2014;2;0;Pinning;1;6
St. Olavs;2014;2;0;Pinning;1;7
Møre og Romsdal;2014;2;0;Pinning;1;8
Førde;2014;2;0;Pinning;0;10
Bergen;2014;2;0;Pinning;2;11
Fonna;2014;2;0;Pinning;0;12
Stavanger;2014;2;0;Pinning;1;13
Østfold;2014;2;0;Pinning;0;14
Akershus;2014;2;0;Pinning;0;15
OUS;2014;2;0;Pinning;0;16
Innlandet;2014;2;0;Pinning;1;19
Vestre Viken;2014;2;0;Pinning;1;20
Vestfold;2014;2;0;Pinning;1;21
Telemark;2014;2;0;Pinning;1;22
Sørlandet;2014;2;0;Pinning;1;23
Norge;2014;2;0;Pinning;21;9999
Finnmark;2015;2;0;Pinning;0;1
UNN;2015;2;0;Pinning;1;2
Nordland;2015;2;0;Pinning;1;3
Helgeland;2015;2;0;Pinning;1;4
Nord-Trøndelag;2015;2;0;Pinning;1;6
St. Olavs;2015;2;0;Pinning;0;7
Møre og Romsdal;2015;2;0;Pinning;1;8
Førde;2015;2;0;Pinning;0;10
Bergen;2015;2;0;Pinning;0;11
Fonna;2015;2;0;Pinning;0;12
Stavanger;2015;2;0;Pinning;1;13
Østfold;2015;2;0;Pinning;1;14
Akershus;2015;2;0;Pinning;0;15
OUS;2015;2;0;Pinning;0;16
Innlandet;2015;2;0;Pinning;1;19
Vestre Viken;2015;2;0;Pinning;0;20
Vestfold;2015;2;0;Pinning;0;21
Telemark;2015;2;0;Pinning;0;22
Sørlandet;2015;2;0;Pinning;1;23
Norge;2015;2;0;Pinning;9;9999
Finnmark;2013;3;0;Pinning;1;1
UNN;2013;3;0;Pinning;0;2
Nordland;2013;3;0;Pinning;0;3
Helgeland;2013;3;0;Pinning;1;4
Nord-Trøndelag;2013;3;0;Pinning;0;6
St. Olavs;2013;3;0;Pinning;2;7
Møre og Romsdal;2013;3;0;Pinning;0;8
Førde;2013;3;0;Pinning;0;10
Bergen;2013;3;0;Pinning;3;11
Fonna;2013;3;0;Pinning;1;12
Stavanger;2013;3;0;Pinning;1;13
Østfold;2013;3;0;Pinning;1;14
Akershus;2013;3;0;Pinning;0;15
OUS;2013;3;0;Pinning;0;16
Innlandet;2013;3;0;Pinning;2;19
Vestre Viken;2013;3;0;Pinning;0;20
Vestfold;2013;3;0;Pinning;0;21
Telemark;2013;3;0;Pinning;0;22
Sørlandet;2013;3;0;Pinning;0;23
Norge;2013;3;0;Pinning;12;9999
Finnmark;2014;3;0;Pinning;0;1
UNN;2014;3;0;Pinning;2;2
Nordland;2014;3;0;Pinning;1;3
Helgeland;2014;3;0;Pinning;3;4
Nord-Trøndelag;2014;3;0;Pinning;2;6
St. Olavs;2014;3;0;Pinning;0;7
Møre og Romsdal;2014;3;0;Pinning;0;8
Førde;2014;3;0;Pinning;0;10
Bergen;2014;3;0;Pinning;2;11
Fonna;2014;3;0;Pinning;1;12
Stavanger;2014;3;0;Pinning;1;13
Østfold;2014;3;0;Pinning;1;14
Akershus;2014;3;0;Pinning;3;15
OUS;2014;3;0;Pinning;0;16
Innlandet;2014;3;0;Pinning;0;19
Vestre Viken;2014;3;0;Pinning;0;20
Vestfold;2014;3;0;Pinning;1;21
Telemark;2014;3;0;Pinning;3;22
Sørlandet;2014;3;0;Pinning;2;23
Norge;2014;3;0;Pinning;22;9999
Finnmark;2015;3;0;Pinning;0;1
UNN;2015;3;0;Pinning;3;2
Nordland;2015;3;0;Pinning;0;3
Helgeland;2015;3;0;Pinning;1;4
Nord-Trøndelag;2015;3;0;Pinning;2;6
St. Olavs;2015;3;0;Pinning;1;7
Møre og Romsdal;2015;3;0;Pinning;0;8
Førde;2015;3;0;Pinning;0;10
Bergen;2015;3;0;Pinning;0;11
Fonna;2015;3;0;Pinning;1;12
Stavanger;2015;3;0;Pinning;1;13
Østfold;2015;3;0;Pinning;0;14
Akershus;2015;3;0;Pinning;1;15
OUS;2015;3;0;Pinning;0;16
Innlandet;2015;3;0;Pinning;1;19
Vestre Viken;2015;3;0;Pinning;0;20
Vestfold;2015;3;0;Pinning;0;21
Telemark;2015;3;0;Pinning;1;22
Sørlandet;2015;3;0;Pinning;1;23
Norge;2015;3;0;Pinning;13;9999
Finnmark;2013;4;0;Pinning;0;1
UNN;2013;4;0;Pinning;3;2
Nordland;2013;4;0;Pinning;1;3
Helgeland;2013;4;0;Pinning;0;4
Nord-Trøndelag;2013;4;0;Pinning;0;6
St. Olavs;2013;4;0;Pinning;0;7
Møre og Romsdal;2013;4;0;Pinning;2;8
Førde;2013;4;0;Pinning;0;10
Bergen;2013;4;0;Pinning;3;11
Fonna;2013;4;0;Pinning;2;12
Stavanger;2013;4;0;Pinning;10;13
Østfold;2013;4;0;Pinning;0;14
Akershus;2013;4;0;Pinning;3;15
OUS;2013;4;0;Pinning;0;16
Innlandet;2013;4;0;Pinning;1;19
Vestre Viken;2013;4;0;Pinning;0;20
Vestfold;2013;4;0;Pinning;3;21
Telemark;2013;4;0;Pinning;2;22
Sørlandet;2013;4;0;Pinning;1;23
Norge;2013;4;0;Pinning;31;9999
Finnmark;2014;4;0;Pinning;1;1
UNN;2014;4;0;Pinning;2;2
Nordland;2014;4;0;Pinning;1;3
Helgeland;2014;4;0;Pinning;1;4
Nord-Trøndelag;2014;4;0;Pinning;2;6
St. Olavs;2014;4;0;Pinning;3;7
Møre og Romsdal;2014;4;0;Pinning;0;8
Førde;2014;4;0;Pinning;0;10
Bergen;2014;4;0;Pinning;6;11
Fonna;2014;4;0;Pinning;3;12
Stavanger;2014;4;0;Pinning;2;13
Østfold;2014;4;0;Pinning;0;14
Akershus;2014;4;0;Pinning;0;15
OUS;2014;4;0;Pinning;1;16
Innlandet;2014;4;0;Pinning;2;19
Vestre Viken;2014;4;0;Pinning;2;20
Vestfold;2014;4;0;Pinning;1;21
Telemark;2014;4;0;Pinning;0;22
Sørlandet;2014;4;0;Pinning;4;23
Norge;2014;4;0;Pinning;31;9999
Finnmark;2015;4;0;Pinning;0;1
UNN;2015;4;0;Pinning;2;2
Nordland;2015;4;0;Pinning;0;3
Helgeland;2015;4;0;Pinning;1;4
Nord-Trøndelag;2015;4;0;Pinning;0;6
St. Olavs;2015;4;0;Pinning;2;7
Møre og Romsdal;2015;4;0;Pinning;2;8
Førde;2015;4;0;Pinning;0;10
Bergen;2015;4;0;Pinning;4;11
Fonna;2015;4;0;Pinning;1;12
Stavanger;2015;4;0;Pinning;3;13
Østfold;2015;4;0;Pinning;1;14
Akershus;2015;4;0;Pinning;1;15
OUS;2015;4;0;Pinning;2;16
Innlandet;2015;4;0;Pinning;2;19
Vestre Viken;2015;4;0;Pinning;2;20
Vestfold;2015;4;0;Pinning;4;21
Telemark;2015;4;0;Pinning;0;22
Sørlandet;2015;4;0;Pinning;0;23
Norge;2015;4;0;Pinning;27;9999
Finnmark;2013;1;0;Totalproteses;1;1
