Teknikk;Ermann;Bohf;Antall;aldergr;aar;teknikk_txt;bohf_txt
1;0;4;1;4;2015;Pinning;Helgeland
1;0;6;4;1;2013;Pinning;Nord-Trøndelag
1;0;6;2;1;2014;Pinning;Nord-Trøndelag
1;0;6;1;1;2015;Pinning;Nord-Trøndelag
1;0;6;0;2;2013;Pinning;Nord-Trøndelag
1;0;6;1;2;2014;Pinning;Nord-Trøndelag
1;0;6;1;2;2015;Pinning;Nord-Trøndelag
1;0;6;0;3;2013;Pinning;Nord-Trøndelag
1;0;6;2;3;2014;Pinning;Nord-Trøndelag
1;0;6;2;3;2015;Pinning;Nord-Trøndelag
1;0;6;0;4;2013;Pinning;Nord-Trøndelag
1;0;6;2;4;2014;Pinning;Nord-Trøndelag
1;0;6;0;4;2015;Pinning;Nord-Trøndelag
1;0;7;1;1;2013;Pinning;St. Olavs
1;0;7;2;1;2014;Pinning;St. Olavs
1;0;7;4;1;2015;Pinning;St. Olavs
1;0;7;1;2;2013;Pinning;St. Olavs
1;0;7;1;2;2014;Pinning;St. Olavs
1;0;7;0;2;2015;Pinning;St. Olavs
1;0;7;2;3;2013;Pinning;St. Olavs
1;0;7;0;3;2014;Pinning;St. Olavs
1;0;7;1;3;2015;Pinning;St. Olavs
1;0;7;0;4;2013;Pinning;St. Olavs
1;0;7;3;4;2014;Pinning;St. Olavs
1;0;7;2;4;2015;Pinning;St. Olavs
1;0;8;0;1;2013;Pinning;Møre og Romsdal
1;0;8;0;1;2014;Pinning;Møre og Romsdal
1;0;8;2;1;2015;Pinning;Møre og Romsdal
1;0;8;0;2;2013;Pinning;Møre og Romsdal
1;0;8;1;2;2014;Pinning;Møre og Romsdal
1;0;8;1;2;2015;Pinning;Møre og Romsdal
1;0;8;0;3;2013;Pinning;Møre og Romsdal
1;0;8;0;3;2014;Pinning;Møre og Romsdal
1;0;8;0;3;2015;Pinning;Møre og Romsdal
1;0;8;2;4;2013;Pinning;Møre og Romsdal
1;0;8;0;4;2014;Pinning;Møre og Romsdal
1;0;8;2;4;2015;Pinning;Møre og Romsdal
1;0;10;0;1;2013;Pinning;Førde
1;0;10;0;1;2014;Pinning;Førde
1;0;10;2;1;2015;Pinning;Førde
1;0;10;0;2;2013;Pinning;Førde
1;0;10;0;2;2014;Pinning;Førde
1;0;10;0;2;2015;Pinning;Førde
1;0;10;0;3;2013;Pinning;Førde
1;0;10;0;3;2014;Pinning;Førde
1;0;10;0;3;2015;Pinning;Førde
1;0;10;0;4;2013;Pinning;Førde
1;0;10;0;4;2014;Pinning;Førde
1;0;10;0;4;2015;Pinning;Førde
1;0;11;6;1;2013;Pinning;Bergen
1;0;11;3;1;2014;Pinning;Bergen
1;0;11;2;1;2015;Pinning;Bergen
1;0;11;1;2;2013;Pinning;Bergen
1;0;11;2;2;2014;Pinning;Bergen
1;0;11;0;2;2015;Pinning;Bergen
1;0;11;3;3;2013;Pinning;Bergen
1;0;11;2;3;2014;Pinning;Bergen
1;0;11;0;3;2015;Pinning;Bergen
1;0;11;3;4;2013;Pinning;Bergen
1;0;11;6;4;2014;Pinning;Bergen
1;0;11;4;4;2015;Pinning;Bergen
1;0;12;1;1;2013;Pinning;Fonna
1;0;12;0;1;2014;Pinning;Fonna
1;0;12;0;1;2015;Pinning;Fonna
1;0;12;0;2;2013;Pinning;Fonna
1;0;12;0;2;2014;Pinning;Fonna
1;0;12;0;2;2015;Pinning;Fonna
1;0;12;1;3;2013;Pinning;Fonna
1;0;12;1;3;2014;Pinning;Fonna
1;0;12;1;3;2015;Pinning;Fonna
1;0;12;2;4;2013;Pinning;Fonna
1;0;12;3;4;2014;Pinning;Fonna
1;0;12;1;4;2015;Pinning;Fonna
1;0;13;7;1;2013;Pinning;Stavanger
1;0;13;2;1;2014;Pinning;Stavanger
1;0;13;0;1;2015;Pinning;Stavanger
1;0;13;4;2;2013;Pinning;Stavanger
1;0;13;1;2;2014;Pinning;Stavanger
1;0;13;1;2;2015;Pinning;Stavanger
1;0;13;1;3;2013;Pinning;Stavanger
1;0;13;1;3;2014;Pinning;Stavanger
1;0;13;1;3;2015;Pinning;Stavanger
1;0;13;10;4;2013;Pinning;Stavanger
1;0;13;2;4;2014;Pinning;Stavanger
1;0;13;3;4;2015;Pinning;Stavanger
1;0;14;1;1;2013;Pinning;Østfold
1;0;14;0;1;2014;Pinning;Østfold
1;0;14;0;1;2015;Pinning;Østfold
1;0;14;0;2;2013;Pinning;Østfold
1;0;14;0;2;2014;Pinning;Østfold
1;0;14;1;2;2015;Pinning;Østfold
1;0;14;1;3;2013;Pinning;Østfold
1;0;14;1;3;2014;Pinning;Østfold
1;0;14;0;3;2015;Pinning;Østfold
1;0;14;0;4;2013;Pinning;Østfold
1;0;14;0;4;2014;Pinning;Østfold
1;0;14;1;4;2015;Pinning;Østfold
1;0;15;1;1;2013;Pinning;Akershus
1;0;15;4;1;2014;Pinning;Akershus
1;0;15;1;1;2015;Pinning;Akershus
