aar;BoHF;BoHF_txt;ald_gr;ErMann;TellerC;NevnerC
2014;14;Østfold;2;0;77;78
2014;14;Østfold;2;1;102;105
2014;14;Østfold;3;0;100;106
2014;14;Østfold;3;1;70;71
2014;15;Akershus;1;0;64;65
2014;15;Akershus;1;1;103;103
2014;15;Akershus;2;0;50;50
2014;15;Akershus;2;1;72;72
2014;15;Akershus;3;0;86;89
2014;15;Akershus;3;1;38;38
2014;16;Oslo;1;0;78;80
2014;16;Oslo;1;1;202;208
2014;16;Oslo;2;0;95;101
2014;16;Oslo;2;1;101;107
2014;16;Oslo;3;0;182;189
2014;16;Oslo;3;1;94;100
2014;19;Innlandet;1;0;80;89
2014;19;Innlandet;1;1;155;162
2014;19;Innlandet;2;0;98;113
2014;19;Innlandet;2;1;111;133
2014;19;Innlandet;3;0;114;143
2014;19;Innlandet;3;1;86;113
2014;20;Vestre Viken;1;0;82;87
2014;20;Vestre Viken;1;1;170;177
2014;20;Vestre Viken;2;0;98;100
2014;20;Vestre Viken;2;1;113;115
2014;20;Vestre Viken;3;0;183;186
2014;20;Vestre Viken;3;1;109;109
2014;21;Vestfold;1;0;31;42
2014;21;Vestfold;1;1;87;101
2014;21;Vestfold;2;0;57;64
2014;21;Vestfold;2;1;69;74
2014;21;Vestfold;3;0;60;74
2014;21;Vestfold;3;1;46;55
2014;22;Telemark;1;0;31;35
2014;22;Telemark;1;1;56;64
2014;22;Telemark;2;0;40;45
2014;22;Telemark;2;1;47;55
2014;22;Telemark;3;0;32;49
2014;22;Telemark;3;1;36;45
2014;23;Sørlandet;1;0;66;73
2014;23;Sørlandet;1;1;117;128
2014;23;Sørlandet;2;0;58;61
2014;23;Sørlandet;2;1;79;84
2014;23;Sørlandet;3;0;77;87
2014;23;Sørlandet;3;1;44;47
2015;1;Finnmark;1;0;9;11
2015;1;Finnmark;1;1;22;29
2015;1;Finnmark;2;0;12;12
2015;1;Finnmark;2;1;27;27
2015;1;Finnmark;3;0;11;12
2015;1;Finnmark;3;1;18;20
2015;2;UNN;1;0;45;51
2015;2;UNN;1;1;103;113
2015;2;UNN;2;0;49;55
2015;2;UNN;2;1;64;73
2015;2;UNN;3;0;85;92
2015;2;UNN;3;1;51;57
2015;3;Nordland;1;0;25;30
2015;3;Nordland;1;1;73;77
2015;3;Nordland;2;0;34;36
2015;3;Nordland;2;1;50;55
2015;3;Nordland;3;0;52;55
2015;3;Nordland;3;1;39;43
2015;4;Helgeland;1;0;14;20
2015;4;Helgeland;1;1;29;34
2015;4;Helgeland;2;0;30;33
2015;4;Helgeland;2;1;30;33
2015;4;Helgeland;3;0;26;29
2015;4;Helgeland;3;1;17;18
2015;6;Nord-Trøndelag;1;0;39;42
2015;6;Nord-Trøndelag;1;1;57;60
2015;6;Nord-Trøndelag;2;0;42;45
2015;6;Nord-Trøndelag;2;1;54;56
2015;6;Nord-Trøndelag;3;0;54;59
2015;6;Nord-Trøndelag;3;1;31;37
2015;7;St. Olavs;1;0;65;69
2015;7;St. Olavs;1;1;122;132
2015;7;St. Olavs;2;0;98;112
2015;7;St. Olavs;2;1;104;122
2015;7;St. Olavs;3;0;109;127
2015;7;St. Olavs;3;1;74;88
2015;8;Møre og Romsdal;1;0;57;58
2015;8;Møre og Romsdal;1;1;106;111
2015;8;Møre og Romsdal;2;0;74;75
2015;8;Møre og Romsdal;2;1;78;85
2015;8;Møre og Romsdal;3;0;115;119
2015;8;Møre og Romsdal;3;1;66;74
2015;10;Førde;1;0;11;11
2015;10;Førde;1;1;51;55
2015;10;Førde;2;0;29;30
2015;10;Førde;2;1;43;43
2015;10;Førde;3;0;41;59
2015;10;Førde;3;1;36;42
2015;11;Bergen;1;0;65;65
2015;11;Bergen;1;1;112;116
